"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data PublicaçãoDOU";"Data Abertura";"Valor Licitação"
"000012019";"23238000023201954";"Objeto: Aquisição de chapas em PVC, conforme dados abaixo:  180 unidades de Tala painel em PVC com 0,20 m de largura x 2,10 m de altura e 35 mm de espessura, no valor máximo de R$ 54,30 a unidade;  60 unidades de Travessa em PVC (perfil 'U'), comprimento de 3,0 metros, no valor máximo de R$ 42,70 a unidade;  40 unidades de ghuia alta em PVC (perfil 'U') comprimento de 3,0 metros, no valor máximo de R$ 49,40 a unidade;  5 unidades de portas em tala PVC 0,80m largura x 2,10 m altura x 35 mm espessura, no valor máx";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26420";"Instituto Federal de Educação, Ciência e Tecn";"158268";"INST.FED.FARROUPILHA/CAMPUS SÃO VICENTE SUL";"SAO VICENTE DO SUL";"01/01/1900";"";"17299,99"
"000052019";"25386100021201996";"Objeto: Aquisição de ácido metanossulfônico Sigma.";"Dispensa de Licitação";"Encerrado";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254445";"INSTITUTO DE TECNOLOGIA EM IMUNOBIOLOGICOS";"RIO DE JANEIRO";"01/01/1900";"";"1542,00"
"000022019";"056573/2016-55";"Objeto: Aquisição de Material de Consumo - Medicamentos.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"153155";"MATERNIDADE ESCOLA DA UFRJ";"RIO DE JANEIRO";"01/01/1900";"";"5400,00"
"000052019";"23209000170201971";"Objeto: Prestação de serviço com emprego de materiais em ordenhadeira mecânica do Campus Bambuí.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e Tecn";"158275";"INST.FED.MINAS GERAIS/CAMPUS BAMBUÍ";"BAMBUI";"01/01/1900";"";"5030,40"
"124082018";"4105-975/2017";"Objeto: Pregão Eletrônico -  A presente licitação objetiva o registro de preços para a AQUISIÇÃO DE MATERIAL DE CONSUMO LABORATORIAL - PLS N  123/2017";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"94720";"Estado das Alagoas";"925998";"AGENCIA DE MODERNIZACAO DA GEST. DE PROCESSOS";"Inválido";"01/01/1900";"24/01/2019";"0,00"
"000022019";"285382/2018";"Objeto: Pregão Eletrônico -  Registro de Preço para eventual e futura aquisição de equipamentos e instrumentos odontologicos para atender as necessidades das unidades de saúde da secretaria de Estado da Saúde - MA";"Pregão - Registro de Preço";"Evento de Reabertura de Prazo ";"99900";"República Federativa do Brasil";"94120";"Estado do Maranhão";"425128";"SECRETARIA DE ESTADO DA SAÚDE/MA";"Inválido";"01/01/1900";"15/02/2019";"0,00"
"000042019";"01443000036201451";"Objeto: Trata-se de prestação de serviços de hospedagem de site.";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"343021";"MUSEU VILLA-LOBOS - RIO DE JANEIRO";"RIO DE JANEIRO";"01/01/1900";"";"2265,00"
"000072018";"64558004076201828";"Objeto: Pregão Eletrônico -  Locação de veículos para  transporte de pessoal.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160375";"27 GRUPO DE ARTILHARIA DE CAMPANHA";"IJUI";"28/01/2019";"07/02/2019";"0,00"
"000022019";"02006001867201895";"Objeto: Pregão Eletrônico -  Contratação de serviço de locação de impressoras, prestado por empresa especializada em reprodução de documentos (outsourcing de impressão) na modalidade franquia mensal de páginas mais excedente, com fornecimento de software de gerenciamento de cotas, monitoramento, gestão e bilhetagem de impressão,  acessórios, suprimentos, insumos/consumíveis originais (tonner e outros, exceto papel), impressoras mul-tifuncionais novas (serviços de impressão, digitalização com OCR e reprodução de";"Pregão";"Publicado";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193103";"IBAMA - SUPERINTENDENCIA DA BAHIA/BA";"SALVADOR";"30/01/2019";"12/02/2019";"0,00"
"000012019";"23186000705201839";"Objeto: Capacitação Pedagógica";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26431";"Instituto Federal de Educação, Ciência e Tecn";"154704";"INST. FED. PIAUÍ/CAMPUS SÃO JOÃO DO PIAUÍ";"SAO JOAO DO PIAUI";"01/01/1900";"";"1600,00"
"000032019";"10435.720.655/201";"Objeto: Contratação de empresa especializada para fornecimento, de Fevereiro a Dezembro e de forma parcelada, de material de consumo (água mineral) com entrega na Delegacia da Receita Federal em Caruaru/PE, com a finalidade de atender as necessidades da citada Unidade, no exercício de 2019";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170060";"DELEGACIA DA RFB EM CARUARU";"CARUARU";"01/01/1900";"";"3600,00"
"001202018";"23105.006158/2018";"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de medicamentos antimicrobianos.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26270";"Fundação Universidade do Amazonas";"150224";"HOSPITAL UNIVERSITARIO GETULIO VARGAS";"MANAUS";"15/01/2019";"29/01/2019";"0,00"
"000012019";"001/160228/2019";"Objeto: Material de Processamento de Dados.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160228";"26 GRUPO DE ARTILHARIA DE CAMPANHA";"GUARAPUAVA";"01/01/1900";"";"1567,00"
"000012019";"23712000054201962";"Objeto: Pagamento do Seguro Obrigatório DPVAT 2019 dos veículos oficiais do IFMG Campus Ouro Branco para a empresa SEGURADORA LÍDER DO CONSÓRCIO DO SEGURO DPVAT S.A";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e Tecn";"155230";"INST.FED.MINAS GERAIS/CAMPUS OURO BRANCO";"OURO BRANCO";"31/01/2019";"";"57,85"
"000092018";"64128003543201862";"Objeto: Pregão Eletrônico -  Aquisição eventual de óleos e graxas lubrificantes.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160213";"5 BATALHAO LOGISTICO";"CURITIBA";"08/01/2019";"21/01/2019";"3333,30"
"000012019";"2018/495726";"Objeto: Pregão Eletrônico -  Aquisição de Água Mineral, acondicionado em garrafões de 20 litros (Comodato).";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"93420";"Estado do Pará";"925872";"SEC DE EST ASSIS SOCIAL, TRAB EMPREGO E RENDA";"Inválido";"01/01/1900";"01/02/2019";"0,00"
"003012019";"23105.073874/2018";"Objeto: Permissão onerosa de uso de bem público (Cantina da Faculdade de Medicina), visando atender à comunidade universitária da UFAM, condições, quantidades, exigências e estimativas encaminhadas pela PROADM.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26270";"Fundação Universidade do Amazonas";"154039";"FUNDACAO UNIVERSIDADE DO AMAZONAS";"MANAUS";"01/01/1900";"";"178,65"
"000652018";"23479017165201837";"Objeto: Pregão Eletrônico -  Contratação de seguro coletivo contra acidentes pessoais, morte acidental, invalidez permanente total ou parcial por acidente, despesas médicas hospitalares, odontológicas e assistência especial, para os alunos regularmente matriculados na Universidade Federal do Sul e Sudeste do Pará, tanto na modalidade presencial quanto à distância, englobando os discentes em atividades didático-pedagógicas, em estágio obrigatório, intercâmbios, viagens técnicas, participação em eventos desportivo";"Pregão";"Publicado";"26000";"Ministério da Educação";"26448";"Universidade Federal do Sul e Sudeste do Pará";"158718";"UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA";"MARABA";"02/01/2019";"15/01/2019";"118800,00"
"002402019";"01342000837201888";"Objeto: Pregão Eletrônico -  Gases Especiais com Locação de Cilindros";"Pregão - Registro de Preço";"Evento de Alteração Publicado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20301";"Comissão Nacional de Energia Nuclear";"113202";"COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN";"SAO PAULO";"09/01/2019";"31/01/2019";"252,00"
"000042019";"20857000633201830";"Objeto: Aquisição de materiais de consumo - dispensers de copos, lixeira para copos e tapete de vinil.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25205";"Fundação Instituto Brasileiro de Geografia e ";"114624";"UNIDADE ESTADUAL DO IBGE EM SANTA CATARINA";"FLORIANOPOLIS";"01/01/1900";"";"305,00"
"000512018";"33401120025201801";"Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo classificados como órteses, próteses e materiais especiais - OPME II, para atender às necessidades do Serviço de Endoscopia Digestiva do Hospital Federal de Ipanema";"Pregão - Registro de Preço";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250103";"HOSPITAL FEDERAL DE IPANEMA";"RIO DE JANEIRO";"21/01/2019";"31/01/2019";"0,00"
"010152019";"23072002588201914";"Objeto: Contratação de empresa especializada na prestação de serviços de captura, remoção e transferência de enxames e colmeias de abelhas, vespas e marimbondos, alocadas em locais impróprios nos Campi da UFMG.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26238";"Universidade Federal de Minas Gerais";"153254";"ADMINISTRACAO GERAL/UFMG";"BELO HORIZONTE";"01/01/1900";"";"12935,00"
"000082018";"11030735356201864";"Objeto: Contratação de pessoa jurídica especializada para a execução dos serviços continuados de revisão, assistência técnica e manutenção preventiva e corretiva, com substituição de peças, para os dois elevadores instalados no prédio-sede da Delegacia da Receita Federal do Brasil em Passo Fundo (DRF/PFO)";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170179";"DELEGACIA DA RFB EM PASSO FUNDO";"PASSO FUNDO";"01/01/1900";"";"7800,00"
"000062019";"082/2019-IMBEL";"Objeto: Aquisição de suprimento de informática (toner, cartucho).";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168003";"INDUSTRIA DE MATERIAL BELICO DO BRASIL - GAB";"BRASILIA";"01/01/1900";"";"1844,00"
"000022019";"301.801-7/18";"Objeto: Pregão Eletrônico -  O objeto da presente licitação é o registro de preços para aquisição de material de copa e cozinha, conforme condições, quantidades e especificações contidas no TERMO DE REFERÊNCIA   ANEXO I do edital.";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"95320";"Estado do Rio de Janeiro";"925464";"TRIBUNAL DE CONTAS DO ESTADO DO R. DE JANEIRO";"Inválido";"01/01/1900";"21/01/2019";"0,00"
"000302018";"64213009654201813";"Objeto: Pregão Eletrônico -  Elaboração de Registro de Preços (SRP) para eventual aquisição de material para manutenção em bens imóveis (material hidráulico em geral), visando atender à demanda do Centro de Preparação de Oficiais da Reserva / Colégio Militar de Belo Horizonte e demais Organizações Militares da Guarnição de Belo Horizonte/MG, Sete Lagoas e Lagoa Santa/MG.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160523";"CENTRO DE PREP. DE OFICIAIS DA RESERVA DE BH";"BELO HORIZONTE";"03/01/2019";"28/01/2019";"0,00"
"000412019";"23345000417201812";"Objeto: Pregão Eletrônico -  Aquisição de material de limpeza comum.";"Pregão - Registro de Preço";"Evento de Anulação Publicado";"26000";"Ministério da Educação";"26412";"Instituto Federal de Educação, Ciência e Tecn";"158304";"IFSULDEMINAS - CAMPUS MACHADO";"MACHADO";"28/01/2019";"";"0,00"
"000162019";"25386101159201821";"Objeto: Pregão Eletrônico -  Aquisição de Becker, placa, pipeta e outros.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"36000";"Ministério da Saúde";"36201";"Fundação Oswaldo Cruz";"254445";"INSTITUTO DE TECNOLOGIA EM IMUNOBIOLOGICOS";"RIO DE JANEIRO";"15/01/2019";"05/02/2019";"47,34"
"000012019";"23780000021201917";"Objeto: Serviço de fornecimento de água e coleta de esgoto para o Colégio Pedro II campus Tijuca I para o exercício de 2019";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26201";"Colégio Pedro II";"155633";"COLÉGIO PEDRO II - CAMPUS TIJUCA I";"RIO DE JANEIRO";"06/02/2019";"";"38821,67"
"018272019";"00182472/2019-09";"Objeto: Contratação de serviço de revitalização de totem, para atender a demanda do Instituto de Tecnologia (ITEC).";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26239";"Universidade Federal do Pará";"153063";"UNIVERSIDADE FEDERAL DO PARA";"BELEM";"01/01/1900";"";"5000,00"
"000012019";"16105720001201954";"Objeto: A presente representação tem por finalidade a contratação da empresa MAXITECH SISTEMAS E TECNOLOGIA LTDA - EPP, CNPJ 61.262.382/0001-16, para prestação de serviço de manutenção do sistema de Circuito Fechado de Televisão (CFTV) instalado no edifício da Delegacia da Receita Federal do Brasil em Guarulhos.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170144";"DELEGACIA DA RFB EM GUARULHOS";"GUARULHOS";"01/01/1900";"";"17081,52"
"000982018";"452456";"Objeto: Pregão Eletrônico -  Compra de Impressoras de Código de Barras, conforme as especificações contidas no anexo I do presente edital, pelo período de 12 (doze) meses.";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"93420";"Estado do Pará";"925448";"FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARÁ";"Inválido";"01/01/1900";"07/02/2019";"0,00"
"000112019";"91.609/2018";"Objeto: Pregão Eletrônico -  Aquisição de Material de Copa e Cozinha para o COMPLEXO HOSPITALAR UFPA/EBSERH, conforme especificações e quantitativos  constantes no termo de Referência, Anexo do Edital.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26239";"Universidade Federal do Pará";"158172";"HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO";"BELEM";"18/01/2019";"30/01/2019";"0,00"
"000062019";"006/2019";"Objeto: Serviço de telefonia fixa prestado pela TELEMAR NORTE LESTE S/A (Oi) no período de 01 a 31/01/2019.";"Dispensa de Licitação";"Encerrado";"35000";"Ministério das Relações Exteriores";"35000";"Ministério das Relações Exteriores - Unidades";"240027";"ESCRITORIO DE REPRES. NA REG.NORDESTE-ERENE";"BRASILIA";"01/01/1900";"";"267,72"
"000032019";"032019";"Objeto: Certificado digital do tipo A3+token.";"Dispensa de Licitação";"Revogação";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"740000";"DIRETORIA-GERAL DO MATERIAL DA MARINHA";"RIO DE JANEIRO";"01/01/1900";"";"383,00"
"000022019";"1269-2018-41";"Objeto: Pagamento referente a contratação de empresa especializada em fornecer água potável através de carro pipa, para atender as necessidades dos Campi da Fundação Joaquim Nabuco.";"Dispensa de Licitação";"Anulação";"26000";"Ministério da Educação";"26292";"Fundação Joaquim Nabuco";"344002";"FUNDAçãO JOAQUIM NABUCO";"RECIFE";"01/01/1900";"";"4005,00"
"000032019";"PA 03/18 - 5  BEC";"Objeto: Aquisição de material destinado ao serviço de aprovisionamento.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160348";"5 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"PORTO VELHO";"01/01/1900";"";"9703,00"
"000012019";"08786000044/2016";"Objeto: Substituição do conector interno do relógio de ponto Proveu Kurumim.";"Dispensa de Licitação";"Encerrado";"81000";"Ministério da Mulher, Família e Direitos Huma";"30202";"Fundação Nacional do Índio";"194022";"MUSEU DO INDIO - RIO DE JANEIRO";"RIO DE JANEIRO";"01/01/1900";"";"150,00"
"004742018";"2018/0009587-7";"Objeto: Pregão Eletrônico -  AQUISIÇÃO DE LENÇOL PAPEL DESCARTÁVEL EM ROLO E SERINGA HIPODÉRMICA DESCARTÁVEL 5 ML PARA UNIDADES AUTARQUIA HOSPITALAR  MUNICIPAL. Srs. Licitantes, favor atentarem para o Descritivo do Objeto - Anexo I do Edital.";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"95420";"Estado de São Paulo";"925104";"PMSP - AUTARQUIA HOSPITALAR MUNICIPAL";"Inválido";"01/01/1900";"30/01/2019";"0,00"
"000322018";"21118.005095/2018";"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica especializada na prestação de serviços de manutenção preventiva e corretiva de veículos, incluindo o fornecimento de peças e acessórios novos, originais ou genuínos, com vistas a atender as necessidades da Embrapa Meio-Norte.";"Pregão";"Evento de Alteração Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135009";"EMBRAPA/CPAMN";"TERESINA";"09/01/2019";"01/02/2019";"240000,00"
"000022019";"71000000107201914";"Objeto: Contratação de empresa para aquisição de placas para o veículo de representação deste Ministério, conforme especificações contidas no Termo de Referência (2909135).";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"55000";"Ministério da Cidadania - Unidades com víncul";"550005";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"BRASILIA";"01/01/1900";"";"2800,00"
"000082019";"10315720124201933";"Objeto: Aquisição de 866 garrafões de 20 litros de água mineral (sem vasilhames) para a DELEGACIA DA RECEITA FEDERAL em Juazeiro do Norte.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170042";"DELEGACIA DA RFB EM JUAZEIRO DO NORTE";"JUAZEIRO DO NORTE";"01/01/1900";"";"3165,00"
"000152019";"23537000022201935";"Objeto: Aquisição de solidificar de resíduos líquidos, reciclador e fibra insolúvel.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155021";"EBSERH HU-UFMG";"BELO HORIZONTE";"01/01/1900";"";"44450,00"
"000092018";"63160000471201832";"Objeto: Pregão Eletrônico -  Serviços  de manutenção estrutural, reparo e recuperação de muros, fossas, sumidouros e cercas em Próprios Nacionais Residenciais (PNR) e Instalações da (ENRN).";"Pregão - Registro de Preço";"Evento de Alteração Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"788810";"ESTACAO NAVAL DO RIO NEGRO";"MANAUS";"02/01/2019";"08/02/2019";"0,00"
"000012019";"23077002464201981";"Objeto: Locação de 300 becas para discentes a serem utilizadas nas Colações de Grau dos cursos de graduação do Centro de Tecnologia/CT, nos dias 05 de fevereiro e 13 de março de 2019, no Hotel Praiamar, Natal/RN.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26243";"Universidade Federal do Rio Grande do Norte";"153103";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"NATAL";"01/01/1900";"";"7920,00"
"000012019";"48610000414201903";"Objeto: Participação no WORKSHOP CAMPUS PARTY SÃO PAULO.";"Dispensa de Licitação";"Encerrado";"32000";"Ministério de Minas e Energia";"32205";"Agência Nacional do Petróleo, Gás Natural e B";"323031";"ESCRITORIO CENTRAL DA ANP";"RIO DE JANEIRO";"01/01/1900";"";"2450,00"
"000022019";"67000013036201942";"Objeto: Contratação de empresa especializada na prestação de serviços de televisão a cabo, com transmissão digital, a fim de atender ao GABAER e às Organizações Militares Apoiadas para o exercício de 2019.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120001";"GABINETE DO COMANDANTE DA AERONAUTICA";"BRASILIA";"01/01/1900";"";"6302,88"
"000372018";"11776-5";"Objeto: Pregão Eletrônico -  O objeto desta licitação é contratação de sociedade empresária para PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO, DESRATIZAÇÃO E DESCUPINIZAÇÃO, daqui por diante mencionado simplesmente como serviços";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"95220";"Estado do Espírito Santo";"925560";"BANESTES - BANCO DO ESTADO DO ESPÍRITO SANTO";"Inválido";"01/01/1900";"17/01/2019";"2869,00"
"000082019";"8/2019";"Objeto: ART de desempenho de cargo/função, atinente ao 2ºTen(RM2-EN)18.0906.72 ÍTALO GUSMÃO SILVA";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"746000";"DIRETORIA DE OBRAS CIVIS DA MARINHA";"RIO DE JANEIRO";"01/01/1900";"";"85,96"
"000182019";"03210381000010/18";"Objeto: Pregão Eletrônico -  Aquisição de equipamentos de comunicação lógica de dados (Switches), conforme Termo de Referência e Ordem de Licitação nº 6306/2018   GSL.";"Pregão";"Evento de Reabertura de Prazo ";"99900";"República Federativa do Brasil";"94420";"Estado do Rio Grande do Norte";"925777";"COMPANHIA DE ÁGUAS E ESGOTOS DO RN";"Inválido";"01/01/1900";"";"0,00"
"000082019";"08666000049201969";"Objeto: Contrato de fornecimento de água e esgoto da empresa SEMASA LAGES.";"Inexigibilidade de Licitação";"Encerrado";"30000";"Ministério da Justiça e Segurança Pública";"30802";"Departamento de Polícia Rodoviária Federal";"200125";"SUPERINTENDENCIA REG. POL. RODV. FEDERAL-SC";"FLORIANOPOLIS";"01/01/1900";"";"1012,93"
"001642018";"23116011056201825";"Objeto: Pregão Eletrônico -  Aquisição de contrastes e marcadores/indicadores para o HU/FURG.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26273";"Universidade Federal do Rio Grande";"150218";"UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG";"RIO GRANDE";"04/01/2019";"16/01/2019";"0,00"
"000032019";"23096.213167/1850";"Objeto: Pregão Eletrônico -  A contratação de empresa especializada para a prestação de serviços continuados de apoio administrativo e manutenção, com disponibilização de mão de obra com dedicação exclusiva e fornecimento de insumos, mediante regime de empreitada por preço unitário, necessários ao Centro de Desenvolvimento Sustentável do Semiárido   CDSA/UFCG, conforme condições, quantidades e exigências, estabelecidas no Edital e seus anexos.";"Pregão";"Evento de Retificação Publicad";"26000";"Ministério da Educação";"26252";"Universidade Federal de Campina Grande";"158195";"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";"CAMPINA GRANDE";"23/01/2019";"";"0,00"
"000012019";"0016010-02.2017";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços técnicos de manutenção preventiva e corretiva nos portais e portas giratórias com detector de metal, catracas e fechaduras eletrônicas do Tribunal de Justiça do Estado de Rondônia, com fornecimento de materiais de consumo, peças, componentes e acessórios.";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"93520";"Estado de Rondônia";"925006";"TRIBUNAL DE JUSTIÇA DO ESTADO DE RONDÔNIA";"Inválido";"01/01/1900";"12/02/2019";"0,00"
"000012019";"25059002012201861";"Objeto: Pregão Eletrônico -  A aquisição de Medicamentos: Sujeitos a controle especial (Portaria/MS 344/98) para atender às necessidades do Distrito Sanitário Especial Indígena - Pernambuco (DSEI-PE).";"Pregão - Registro de Preço";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"257047";"DISTRITO SANIT.ESP.INDIGENA - PERNAMBUCO";"RECIFE";"07/01/2019";"04/02/2019";"0,00"
"000012019";"23155000077201930";"Objeto: Contratação de empresa especializada no fornecimento de energia elétrica para o Ifes - campus Linhares, para o exercício de 2019.";"Dispensa de Licitação";"Publicado";"26000";"Ministério da Educação";"26406";"Instituto Federal de Educação, Ciência e Tecn";"158420";"INST.FED. ESPIRITO SANTO/CAMPUS LINHARES";"LINHARES";"21/01/2019";"";"350000,00"
"000062019";"23112000115201951";"Objeto: Aquisição de 12 conjuntos de máquina fotográfica, cartão de memória e tripé, para a Comissão de Verificação da Autodeclaração de Raça/cor da SAADE.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26280";"Fundação Universidade Federal de São Carlos";"154049";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS";"SAO CARLOS";"01/01/1900";"";"8220,00"
"000032019";"10315720073201940";"Objeto: Aquisição de 200Kg de Café torrado e moído, embalado a vácuo ou semelhante, qualidade Premium, para atender demanda da DRF/JNE/CE e Agências brejo Santo e Iguatu/CE.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170042";"DELEGACIA DA RFB EM JUAZEIRO DO NORTE";"JUAZEIRO DO NORTE";"01/01/1900";"";"2872,00"
"000022019";"02/2019";"Objeto: Pagamento de Seguro Obrigatório de Viaturas Administrativa do Batalhão";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160116";"17º BATALHÃO LOGíSTICO LEVE";"JUIZ DE FORA";"01/01/1900";"";"556,25"
"000822018";"63342000480201895";"Objeto: Pregão Eletrônico -  Aquisição de MATERIAL DE SEGURANÇA DA AVIAÇÃO E FERRAMENTAS EM GERAL conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"771300";"CENTRO DE OBTENCAO DA MARINHA NO R.J.";"RIO DE JANEIRO";"30/01/2019";"19/02/2019";"0,00"
"000012019";"23232000093201962";"Objeto: Contratação de empresa especializada na prestação de serviço de recarga de extintores e vistoria e manutenção de mangueiras de combate a incêndio.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26411";"Instituto Federal de Educação, Ciência e Tecn";"158415";"INST FED SUDESTE DE MG/CAMPUS MURIAE";"MURIAE";"01/01/1900";"";"2037,00"
"000012019";"002/2019";"Objeto: Contratação de serviços gráficos e editoriais.";"Dispensa de Licitação";"Encerrado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135031";"EMBRAPA/CPACT";"PELOTAS";"01/01/1900";"";"450,00"
"000022019";"80748000632201997";"Objeto: Aquisição de medicamentos de custo elevado (63 comprimidos de rivaroxabana de 20mg) para atender necessidade de dependente de militar vinculado ao FUSEx.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160126";"11º BATALHãO DE INFANTARIA DE MONTANHA";"SAO JOAO DEL REI";"01/01/1900";"";"476,91"
"000012019";"23390000022201947";"Objeto: Aquisição de materiais de construção (consumo)";"Dispensa de Licitação";"Publicado";"26000";"Ministério da Educação";"26410";"Instituto Federal de Educação, Ciência e Tecn";"158439";"INST.FED.DO NORTE DE MG/CAMPUS ALMENARA";"ALMENARA";"23/01/2019";"";"1620,00"
"000102019";"23087015990201819";"Objeto: Aquisição de creme dermatológico (Caixa com 12 sachês   7 caixas), SIGE 130062, marca MODIK para atender a Pesquisa Científica da Pró-Reitoria de Pesquisa e Pós-Graduação da Universidade Federal de Alfenas - UNIFAL-MG. Todos os encargos e frete deverão estar inclusos.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26260";"Universidade Federal de Alfenas";"153028";"UNIVERSIDADE FEDERAL DE ALFENAS";"ALFENAS";"01/01/1900";"";"1085,00"
"000862018";"23090046470201891";"Objeto: Pregão Eletrônico -  Aquisição de utensílios para laboratório e ração para roedores";"Pregão - Registro de Preço";"Evento de Alteração Publicado";"26000";"Ministério da Educação";"26263";"Universidade Federal de Lavras";"153032";"UNIVERSIDADE FEDERAL DE LAVRAS";"LAVRAS";"23/01/2019";"08/02/2019";"57750,00"
